Image,Dice PCA1,IoU PCA1,Dice PCA2,IoU PCA2,Dice PCA3,IoU PCA3,Dice PCA4,IoU PCA4,Dice PCA5,IoU PCA5
ISIC_0013833,0.9515149567843717,0.9075140965923021,0.9515149567843717,0.9075140965923021,0.9513315557839956,0.9071804925866928,0.9514232474458652,0.9073472639254856,0.951300995823964,0.9071249157630338
ISIC_0012136,0.6673753480131612,0.5007976904960875,0.6657979827228415,0.49902336685234755,0.6647191226473828,0.49781220859335773,0.6643400105177607,0.4973870713723244,0.6656057098765432,0.4988073726057102
ISIC_0015201,0.4083481000196889,0.2565561603166749,0.4086900832553328,0.25682620271190637,0.4080267558528428,0.25630252100840334,0.407625786163522,0.2559861762527771,0.40784622191632663,0.2561600691656889
ISIC_0015942,0.02164396887159533,0.01094038106945298,0.021634761470677607,0.010935676107390796,0.021657135904611265,0.01094710947109471,0.02164396887159533,0.01094038106945298,0.021657135904611265,0.01094710947109471
ISIC_0014434,0.13127324749642347,0.07024742773150416,0.13127324749642347,0.07024742773150416,0.13126573586633097,0.07024312572723376,0.13117566331198535,0.07019154274524203,0.13123569794050344,0.07022592297801995
ISIC_0015582,0.22875675675675675,0.129150390625,0.22875675675675675,0.129150390625,0.22875675675675675,0.129150390625,0.22875675675675675,0.129150390625,0.22875675675675675,0.129150390625
ISIC_0014907,0.2572645023948909,0.14762108349111341,0.2572508115587249,0.14761206791254428,0.2572645023948909,0.14762108349111341,0.2572508115587249,0.14761206791254428,0.2572645023948909,0.14762108349111341
ISIC_0012388,0.5842974389399782,0.41272612977579104,0.5800201175287204,0.4084706584147342,0.5848472749051707,0.4132750229244551,0.5828740559297816,0.4113071660064818,0.5833629396538598,0.41179421037546576
ISIC_0015568,0.24485436893203882,0.1395065825865693,0.2422982422982423,0.1378494623655914,0.23922705314009662,0.1358647936786655,0.31761036014746197,0.18878525677042365,0.22903004795928356,0.12932463800154748
ISIC_0015625,0.5734436221158032,0.4019775390625,0.5734436221158032,0.4019775390625,0.5734436221158032,0.4019775390625,0.5734436221158032,0.4019775390625,0.5734436221158032,0.4019775390625
ISIC_0016017,0.04361971321846005,0.022296132052229613,0.0436118306126137,0.02229201305499107,0.4319654427645788,0.27548209366391185,0.04364074743821579,0.02230712349026374,0.43134435657800146,0.27497708524289644
ISIC_0014634,0.46620483055607564,0.303955078125,0.46620483055607564,0.303955078125,0.46620483055607564,0.303955078125,0.46620483055607564,0.303955078125,0.46620483055607564,0.303955078125
ISIC_0014868,0.6744872780227337,0.50885009765625,0.6744872780227337,0.50885009765625,0.6744872780227337,0.50885009765625,0.6744872780227337,0.50885009765625,0.6744872780227337,0.50885009765625
ISIC_0014952,0.5163137976884525,0.3479939335447401,0.507331513946066,0.33988224356987917,0.5074005550416282,0.3399442206383638,0.5074005550416282,0.3399442206383638,0.516079079130749,0.34778071518018644
ISIC_0013073,0.7173852683352505,0.5593146956952004,0.7185538339292808,0.5607366528182551,0.7175560404681611,0.5595223363445119,0.7174991073908041,0.5594531056669141,0.7174421833472172,0.5593838921192626
ISIC_0013203,0.027402780576264357,0.013891726251276814,0.028525512253917237,0.014469125738740575,0.0273972602739726,0.013888888888888888,0.02855419264025739,0.014483884128926969,0.027744270205066344,0.014067278287461774
ISIC_0015276,0.09145453486340072,0.04791844707605909,0.09145986251893277,0.04792137232159209,0.0914705196923794,0.04792722388424202,0.09145453486340072,0.04791844707605909,0.09145453486340072,0.04791844707605909
